random_id,word_stem,word,n
1,divers,diversity,18
1,divers,diverse,18
1,umm,umms,12
1,commun,community,10
1,faculti,faculty,9
2,commun,community,7
2,commun,communities,7
2,remind,reminded,4
2,remind,remind,4
2,social,social,3
3,life,life,3
3,offic,officer,2
3,institut,institution,2
3,human,human,2
3,occur,occurred,2
4,physician,physicians,3
4,oath,oath,3
4,nation,nationality,3
4,student,students,3
4,live,lived,3
5,health,health,8
5,student,students,5
5,faculti,faculty,4
5,staff,staff,4
5,commun,community,4
6,american,americans,12
6,american,american,12
6,african,african,10
6,health,health,10
6,kill,killed,6
7,commun,community,10
7,commun,communities,10
7,feel,feeling,4
7,feel,feelings,4
7,support,support,4
8,protest,protests,3
8,support,support,3
8,protest,protesting,3
8,stand,stands,2
8,discrimin,discrimination,2
9,commun,community,13
9,commun,communities,13
9,test,testing,6
9,test,tests,6
9,test,tested,6
10,justic,justice,3
10,time,time,3
10,forward,forward,3
10,student,student,3
10,student,students,3
11,famili,family,4
11,join,join,4
11,famili,families,4
11,read,read,4
11,read,reading,4
12,care,care,4
12,student,students,4
12,student,student,4
12,commun,communities,3
12,racial,racial,3
13,peopl,people,4
13,medic,medical,3
13,center,center,3
13,commun,community,3
13,pain,pain,3
14,commun,communities,3
14,commun,community,3
14,medicin,medicine,2
14,shaken,shaken,1
14,tragic,tragic,1
15,commun,communities,9
15,commun,community,9
15,american,american,6
15,american,americans,6
15,offic,office,4
16,school,school,7
16,action,action,6
16,commun,community,6
16,improv,improve,6
16,action,actions,6
17,health,health,10
17,patient,patients,5
17,patient,patient,5
17,black,black,4
17,individu,individuals,4
18,campu,campus,5
18,commun,communities,5
18,commun,community,5
18,health,health,4
18,fall,fall,4
19,commun,community,4
19,deepli,deeply,2
19,death,death,2
19,georg,george,2
19,racist,racist,2
20,chang,change,5
20,racism,racism,5
20,week,week,4
20,respons,responsibility,4
20,respons,response,4
21,commit,commitment,6
21,commit,committing,6
21,commit,committed,6
21,health,health,6
21,commit,commit,6
22,commun,communities,8
22,commun,community,8
22,peopl,people,6
22,black,black,5
22,nation,nation,5
23,time,time,5
23,chang,change,5
23,commun,communities,4
23,social,social,4
23,commun,community,4
24,commun,community,4
24,commun,communities,4
24,racism,racism,3
24,leader,leaders,3
24,oppress,oppression,2
25,commun,communities,3
25,commun,community,3
25,weekend,weekend,2
25,unrest,unrest,2
25,countri,country,2
26,commun,community,3
26,act,acts,3
26,dai,day,2
26,care,care,2
26,hatr,hatred,2
27,commun,communities,6
27,commun,community,6
27,black,black,5
27,countri,country,3
27,experienc,experiencing,3
28,death,death,4
28,african,african,4
28,american,american,4
28,inequ,inequities,4
28,american,americans,4
29,heal,healing,9
29,heal,heal,9
29,hope,hope,7
29,bring,bring,5
29,bring,bringing,5
30,societi,society,6
30,event,events,3
30,exist,exist,3
30,social,social,3
30,riot,riot,3
31,commun,communities,4
31,commun,community,4
31,hm,hms,4
31,address,addressed,3
31,discrimin,discrimination,3
32,commun,community,6
32,commun,communities,6
32,mcw,mcw,5
32,student,students,5
32,student,student,5
33,health,health,8
33,continu,continues,5
33,continu,continue,5
33,continu,continuing,5
33,system,systemic,4
34,support,support,3
34,medicin,medicine,2
34,improv,improve,2
34,live,lives,2
34,event,events,2
35,human,humanity,8
35,human,humans,8
35,human,human,8
35,health,health,7
35,social,social,7
36,commun,community,8
36,racial,racial,6
36,african,african,5
36,american,americans,5
36,american,american,5
37,racism,racism,5
37,act,acts,4
37,act,act,4
37,commun,community,4
37,health,health,3
38,parent,parents,5
38,event,events,4
38,male,male,4
38,black,black,4
38,male,males,4
39,cleveland,cleveland,7
39,chang,change,4
39,equiti,equity,4
39,cclcm,cclcm,4
39,chang,changing,4
40,commun,communities,3
40,commun,community,3
40,spent,spent,2
40,past,past,2
40,think,thinking,2
41,racism,racism,2
41,violenc,violence,2
41,health,health,2
41,institut,institution,2
41,mission,mission,2
42,black,black,7
42,racism,racism,7
42,privileg,privileges,5
42,privileg,privileged,5
42,privileg,privilege,5
43,commun,communities,6
43,commun,community,6
43,racism,racism,4
43,nation,nation,3
43,societi,society,3
44,commun,community,6
44,human,human,4
44,physician,physicians,4
44,physician,physician,4
44,school,school,4
45,racial,racial,6
45,injustic,injustice,5
45,health,health,4
45,famili,families,3
45,famili,family,3
46,commun,community,7
46,continu,continual,6
46,continu,continue,6
46,continu,continues,6
46,support,support,5
47,commun,community,7
47,commun,communities,7
47,nation,nation,4
47,nation,national,4
47,individu,individuals,4
48,commun,communities,11
48,commun,community,11
48,racial,racial,4
48,act,acts,4
48,racism,racism,4
49,environ,environment,3
49,stand,stand,3
49,countri,country,2
49,societi,society,2
49,racism,racism,2
50,racism,racism,11
50,institut,institution,7
50,institut,institutional,7
50,burden,burden,5
50,peopl,people,5
51,health,health,6
51,support,supported,4
51,racism,racism,4
51,support,support,4
51,word,words,3
52,health,health,17
52,racial,racial,8
52,american,american,7
52,american,americans,7
52,care,care,7
53,hatr,hatred,6
53,clinic,clinic,6
53,human,human,5
53,school,school,5
53,human,humane,5
54,justic,justice,6
54,commun,community,5
54,commun,communities,5
54,death,death,4
54,pandem,pandemics,4
55,floyd,floyd,2
55,offic,officers,2
55,floyd’,floyd’s,2
55,treat,treat,2
55,treat,treated,2
56,inclus,inclusive,5
56,inclus,inclusion,5
56,black,black,4
56,african,african,4
56,american,american,4
