ngram3_stem,ngram3,n_ngram_stem,n_inst_ngram_stem,n_ngram,n_inst_ngram
martin luther king,martin luther king,8,7,8,7
african american commun,african american community,7,6,7,6
luther king jr,luther king jr,6,6,6,6
georg floyd breonna,george floyd breonna,5,5,5,5
floyd breonna taylor,floyd breonna taylor,5,5,5,5
georg floyd ahmaud,george floyd ahmaud,5,5,5,5
floyd ahmaud arberi,floyd ahmaud arbery,5,5,5,5
georg floyd’ death,george floyd’s death,4,4,4,4
public health crisi,public health crisis,4,4,4,4
medic center commun,medical center community,4,3,4,3
black student staff,black students staff,4,4,4,4
student faculti staff,students faculty staff,4,4,4,4
minneapoli polic offic,minneapolis police officer,4,4,2,2
minneapoli polic offic,minneapolis police officers,4,4,2,2
black african american,black african american,4,1,4,1
health care profession,health care professional,3,3,1,1
american medic colleg,american medical colleges,3,3,3,3
unconsci bia train,unconscious bias training,3,2,3,2
achiev health equiti,achieving health equity,3,3,2,2
health care profession,health care professionals,3,3,2,2
medic school commun,medical school community,3,3,3,3
achiev health equiti,achieve health equity,3,3,1,1
elimin health dispar,eliminating health disparities,2,2,2,2
health care deliveri,health care delivery,2,2,2,2
civil right movement,civil rights movement,2,2,2,2
civil right act,civil rights act,2,2,2,2
health care dispar,health care disparities,2,2,2,2
faculti staff student,faculty staff students,2,2,2,2
white polic offic,white police officer,2,2,1,1
commun public health,community public health,2,2,1,1
commun public health,communities public health,2,2,1,1
dismantl structur racism,dismantle structural racism,2,2,1,1
health system commun,health system community,2,2,2,2
public health crise,public health crises,2,2,2,2
race religion nation,races religions nationalities,2,2,1,1
religion nation sexual,religions nationalities sexual,2,2,1,1
nation sexual orient,nationalities sexual orientations,2,2,1,1
black live matter,black lives matter,2,2,2,2
crimin justic system,criminal justice system,2,2,2,2
race religion gender,race religion gender,2,2,2,2
anguish fear sad,anguish fear sadness,2,2,2,2
student counsel servic,student counseling services,2,2,2,2
equit health care,equitable health care,2,2,2,2
disproportion psycholog toll,disproportionate psychological toll,2,2,2,2
m.d hood ceremoni,m.d hooding ceremony,2,1,2,1
promot social justic,promote social justice,2,2,2,2
health care commun,health care community,2,2,2,2
health care provid,health care providers,2,2,1,1
race religion nation,race religion nationality,2,2,1,1
religion nation sexual,religion nationality sexual,2,2,1,1
nation sexual orient,nationality sexual orientation,2,2,1,1
umass medic school,umass medical school,2,1,2,1
ahmaud arberi breonna,ahmaud arbery breonna,2,2,2,2
arberi breonna taylor,arbery breonna taylor,2,2,2,2
urban health initi,urban health initiative,2,1,2,1
white polic offic,white police officers,2,2,1,1
health care provid,health care provider,2,2,1,1
dismantl structur racism,dismantling structural racism,2,2,1,1
georg floyd breanna,george floyd breanna,2,1,2,1
floyd breanna taylor,floyd breanna taylor,2,1,2,1
